sample_,var_,count,varcode,varname
22,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
22,217,13.0,Cor,Corylus
22,228,2.0,Cru,Cruciferae
22,233,10.0,Cypae,Cyperaceae
22,272,1.0,Eph,Ephedra
22,282,14.0,Eriae,Ericaceae
22,304,4.0,Fag,Fagus
22,349,24.0,Graae,Gramineae
22,394,1.0,Jun,Juniperus
22,411,1.0,Leg,Leguminosae
22,531,84.0,Oleae,Oleaceae
22,567,117.0,Pin,Pinus
22,572,13.0,Pst,Pistacia
22,576,20.0,Pla,Plantago
22,657,47.0,Que.i-T,Quercus ilex-type
22,659,18.0,Que.r-T,Quercus robur-type
22,662,3.0,Ranae,Ranunculaceae
22,694,1.0,Rum,Rumex
22,793,5.0,Spa-T,Sparganium-type
22,854,2.0,Umb,Umbelliferae
22,897,1.0,Vts,Vitis
22,1396,5.0,Trl.s,Trilete spore(s)
22,2610,2.0,PseudoS,Pseudoschizaea
23,32,4.0,Aln,Alnus
23,66,6.0,Art,Artemisia
23,95,3.0,Bet,Betula
23,185,14.0,Cheae,Chenopodiaceae
23,196,2.0,Ciu,Cistus
23,203,2.0,Cm.Sf.C,Compositae subf. Cichorioideae
23,217,5.0,Cor,Corylus
23,233,4.0,Cypae,Cyperaceae
23,272,2.0,Eph,Ephedra
23,282,3.0,Eriae,Ericaceae
23,304,1.0,Fag,Fagus
23,349,5.0,Graae,Gramineae
23,531,24.0,Oleae,Oleaceae
23,567,93.0,Pin,Pinus
23,572,1.0,Pst,Pistacia
23,576,9.0,Pla,Plantago
23,657,24.0,Que.i-T,Quercus ilex-type
23,659,15.0,Que.r-T,Quercus robur-type
23,854,1.0,Umb,Umbelliferae
23,897,3.0,Vts,Vitis
23,1396,1.0,Trl.s,Trilete spore(s)
23,1400,3.0,Mon.s,Monolete spore(s)
24,32,16.0,Aln,Alnus
24,66,6.0,Art,Artemisia
24,95,2.0,Bet,Betula
24,185,97.0,Cheae,Chenopodiaceae
24,196,4.0,Ciu,Cistus
24,201,10.0,Cm.Sf.A,Compositae subf. Asteroideae
24,203,3.0,Cm.Sf.C,Compositae subf. Cichorioideae
24,217,10.0,Cor,Corylus
24,228,1.0,Cru,Cruciferae
24,233,14.0,Cypae,Cyperaceae
24,272,6.0,Eph,Ephedra
24,282,4.0,Eriae,Ericaceae
24,304,5.0,Fag,Fagus
24,349,19.0,Graae,Gramineae
24,394,3.0,Jun,Juniperus
24,531,73.0,Oleae,Oleaceae
24,567,52.0,Pin,Pinus
24,572,10.0,Pst,Pistacia
24,576,24.0,Pla,Plantago
24,657,41.0,Que.i-T,Quercus ilex-type
24,659,39.0,Que.r-T,Quercus robur-type
24,662,5.0,Ranae,Ranunculaceae
24,793,5.0,Spa-T,Sparganium-type
24,853,1.0,Ulm,Ulmus
24,854,6.0,Umb,Umbelliferae
24,866,1.0,Urtae,Urticaceae
24,897,1.0,Vts,Vitis
24,1400,2.0,Mon.s,Monolete spore(s)
24,1452,1.0,Cor.f,Coriaria myrtifolia
24,2610,1.0,PseudoS,Pseudoschizaea
25,32,3.0,Aln,Alnus
25,66,10.0,Art,Artemisia
25,95,3.0,Bet,Betula
25,185,49.0,Cheae,Chenopodiaceae
25,201,6.0,Cm.Sf.A,Compositae subf. Asteroideae
25,203,11.0,Cm.Sf.C,Compositae subf. Cichorioideae
25,217,19.0,Cor,Corylus
25,233,2.0,Cypae,Cyperaceae
25,272,3.0,Eph,Ephedra
25,282,4.0,Eriae,Ericaceae
25,304,7.0,Fag,Fagus
25,349,9.0,Graae,Gramineae
25,394,1.0,Jun,Juniperus
25,531,53.0,Oleae,Oleaceae
25,567,11.0,Pin,Pinus
25,572,1.0,Pst,Pistacia
25,576,25.0,Pla,Plantago
25,657,21.0,Que.i-T,Quercus ilex-type
25,659,41.0,Que.r-T,Quercus robur-type
25,853,1.0,Ulm,Ulmus
25,854,3.0,Umb,Umbelliferae
25,897,1.0,Vts,Vitis
25,1396,3.0,Trl.s,Trilete spore(s)
25,2610,5.0,PseudoS,Pseudoschizaea
26,32,9.0,Aln,Alnus
26,66,6.0,Art,Artemisia
26,95,3.0,Bet,Betula
26,119,5.0,Bux,Buxus
26,185,31.0,Cheae,Chenopodiaceae
26,201,4.0,Cm.Sf.A,Compositae subf. Asteroideae
26,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
26,217,16.0,Cor,Corylus
26,233,6.0,Cypae,Cyperaceae
26,272,6.0,Eph,Ephedra
26,282,3.0,Eriae,Ericaceae
26,304,5.0,Fag,Fagus
26,349,32.0,Graae,Gramineae
26,394,14.0,Jun,Juniperus
26,411,1.0,Leg,Leguminosae
26,531,41.0,Oleae,Oleaceae
26,567,15.0,Pin,Pinus
26,572,12.0,Pst,Pistacia
26,576,38.0,Pla,Plantago
26,657,56.0,Que.i-T,Quercus ilex-type
26,659,20.0,Que.r-T,Quercus robur-type
26,662,6.0,Ranae,Ranunculaceae
26,675,1.0,Rha,Rhamnus
26,687,1.0,Rosae,Rosaceae
26,689,1.0,Rubae,Rubiaceae
26,793,2.0,Spa-T,Sparganium-type
26,854,8.0,Umb,Umbelliferae
26,866,1.0,Urtae,Urticaceae
26,897,2.0,Vts,Vitis
26,1396,1.0,Trl.s,Trilete spore(s)
26,1400,4.0,Mon.s,Monolete spore(s)
26,2610,1.0,PseudoS,Pseudoschizaea
27,32,10.0,Aln,Alnus
27,66,6.0,Art,Artemisia
27,95,1.0,Bet,Betula
27,119,1.0,Bux,Buxus
27,185,57.0,Cheae,Chenopodiaceae
27,201,5.0,Cm.Sf.A,Compositae subf. Asteroideae
27,203,6.0,Cm.Sf.C,Compositae subf. Cichorioideae
27,217,22.0,Cor,Corylus
27,233,2.0,Cypae,Cyperaceae
27,272,1.0,Eph,Ephedra
27,282,5.0,Eriae,Ericaceae
27,304,2.0,Fag,Fagus
27,349,15.0,Graae,Gramineae
27,352,1.0,Hed,Hedera
27,394,3.0,Jun,Juniperus
27,531,50.0,Oleae,Oleaceae
27,567,14.0,Pin,Pinus
27,572,1.0,Pst,Pistacia
27,576,23.0,Pla,Plantago
27,657,23.0,Que.i-T,Quercus ilex-type
27,659,36.0,Que.r-T,Quercus robur-type
27,689,1.0,Rubae,Rubiaceae
27,694,3.0,Rum,Rumex
27,793,1.0,Spa-T,Sparganium-type
27,853,1.0,Ulm,Ulmus
27,854,2.0,Umb,Umbelliferae
27,1396,2.0,Trl.s,Trilete spore(s)
27,1400,1.0,Mon.s,Monolete spore(s)
27,2610,7.0,PseudoS,Pseudoschizaea
28,32,4.0,Aln,Alnus
28,66,5.0,Art,Artemisia
28,95,1.0,Bet,Betula
28,119,1.0,Bux,Buxus
28,185,36.0,Cheae,Chenopodiaceae
28,201,18.0,Cm.Sf.A,Compositae subf. Asteroideae
28,217,10.0,Cor,Corylus
28,228,2.0,Cru,Cruciferae
28,233,14.0,Cypae,Cyperaceae
28,272,17.0,Eph,Ephedra
28,282,4.0,Eriae,Ericaceae
28,304,2.0,Fag,Fagus
28,349,34.0,Graae,Gramineae
28,394,39.0,Jun,Juniperus
28,531,30.0,Oleae,Oleaceae
28,567,45.0,Pin,Pinus
28,572,10.0,Pst,Pistacia
28,576,32.0,Pla,Plantago
28,657,50.0,Que.i-T,Quercus ilex-type
28,659,26.0,Que.r-T,Quercus robur-type
28,662,10.0,Ranae,Ranunculaceae
28,694,2.0,Rum,Rumex
28,793,6.0,Spa-T,Sparganium-type
28,854,11.0,Umb,Umbelliferae
28,956,1.0,Ppd,Polypodium
28,1396,4.0,Trl.s,Trilete spore(s)
28,1400,12.0,Mon.s,Monolete spore(s)
29,32,11.0,Aln,Alnus
29,66,4.0,Art,Artemisia
29,95,2.0,Bet,Betula
29,119,3.0,Bux,Buxus
29,136,1.0,Car,Carpinus
29,185,48.0,Cheae,Chenopodiaceae
29,201,14.0,Cm.Sf.A,Compositae subf. Asteroideae
29,203,2.0,Cm.Sf.C,Compositae subf. Cichorioideae
29,217,13.0,Cor,Corylus
29,233,6.0,Cypae,Cyperaceae
29,272,2.0,Eph,Ephedra
29,282,3.0,Eriae,Ericaceae
29,304,2.0,Fag,Fagus
29,349,11.0,Graae,Gramineae
29,394,14.0,Jun,Juniperus
29,531,19.0,Oleae,Oleaceae
29,562,1.0,Phi,Phillyrea
29,567,46.0,Pin,Pinus
29,572,1.0,Pst,Pistacia
29,576,29.0,Pla,Plantago
29,657,29.0,Que.i-T,Quercus ilex-type
29,659,48.0,Que.r-T,Quercus robur-type
