sample_,var_,count,varcode,varname
12,989,3.0,Til.s,Tilletia sphagni
12,1100,1.0,Lilae.ud,Liliaceae undiff.
12,1337,1.0,Pis.p,Pinus pinaster
12,1338,1.0,Pin.s-T,Pinus sylvestris-type
12,1478,2.0,Pla.c-T,Plantago coronopus-type
12,1810,1.0,Asp.a-T,Asphodelus albus-type
12,3028,90.0,Eri-T,Erica-type
12,3301,1.0,Pse.c,Pseudoschizaea circula
12,3911,13.0,Flc.m.ud,Filicales monoletes undiff.
12,4268,1.0,T150,Type 150
12,4271,2.0,T225,Type 225
12,4274,37.0,Spi.cf.s,Spirogyra cf. scrobiculata
12,4366,110.0,Que.py-T,Quercus pyrenaica-type
13,32,38.0,Aln,Alnus
13,95,157.0,Bet,Betula
13,124,13.0,Cal.v,Calluna vulgaris
13,217,2.0,Cor,Corylus
13,233,12.0,Cypae,Cyperaceae
13,349,109.0,Graae,Gramineae
13,352,6.0,Hed,Hedera
13,401,1.0,Lab,Labiatae
13,863,10.0,Urt.d-T,Urtica dioica-type
13,945,37.0,Lyc,Lycopodium
13,953,14.0,Osm.r,Osmunda regalis
13,958,15.0,Ppd.v-T,Polypodium vulgare-type
13,961,11.0,Ptd.a,Pteridium aquilinum
13,1337,4.0,Pis.p,Pinus pinaster
13,1338,3.0,Pin.s-T,Pinus sylvestris-type
13,1810,2.0,Asp.a-T,Asphodelus albus-type
13,3018,4.0,Cicoid,Cichorioideae
13,3028,115.0,Eri-T,Erica-type
13,3043,34.0,Crl,Cerealia
13,3301,11.0,Pse.c,Pseudoschizaea circula
13,3313,5.0,Asp.t,Asplenium trichomanes
13,3911,15.0,Flc.m.ud,Filicales monoletes undiff.
13,4271,5.0,T225,Type 225
13,4274,56.0,Spi.cf.s,Spirogyra cf. scrobiculata
13,4366,113.0,Que.py-T,Quercus pyrenaica-type
14,32,42.0,Aln,Alnus
14,95,138.0,Bet,Betula
14,233,5.0,Cypae,Cyperaceae
14,349,22.0,Graae,Gramineae
14,352,1.0,Hed,Hedera
14,411,1.0,Leg,Leguminosae
14,945,8.0,Lyc,Lycopodium
14,958,14.0,Ppd.v-T,Polypodium vulgare-type
14,3028,39.0,Eri-T,Erica-type
14,3043,11.0,Crl,Cerealia
14,3911,1.0,Flc.m.ud,Filicales monoletes undiff.
14,4274,8.0,Spi.cf.s,Spirogyra cf. scrobiculata
14,4366,270.0,Que.py-T,Quercus pyrenaica-type
15,32,63.0,Aln,Alnus
15,95,195.0,Bet,Betula
15,124,2.0,Cal.v,Calluna vulgaris
15,233,9.0,Cypae,Cyperaceae
15,349,23.0,Graae,Gramineae
15,352,2.0,Hed,Hedera
15,763,1.0,Scoae,Scrophulariaceae
15,863,1.0,Urt.d-T,Urtica dioica-type
15,945,30.0,Lyc,Lycopodium
15,958,40.0,Ppd.v-T,Polypodium vulgare-type
15,961,2.0,Ptd.a,Pteridium aquilinum
15,1337,2.0,Pis.p,Pinus pinaster
15,1338,1.0,Pin.s-T,Pinus sylvestris-type
15,2303,1.0,But,Butomus
15,3028,23.0,Eri-T,Erica-type
15,3043,9.0,Crl,Cerealia
15,3301,1.0,Pse.c,Pseudoschizaea circula
15,3462,3.0,T114,Type 114
15,3910,3.0,Flc.t.ud,Filicales triletes undiff.
15,3911,19.0,Flc.m.ud,Filicales monoletes undiff.
15,4233,1.0,T52,Type 52
15,4266,2.0,T107,Type 107
15,4274,4.0,Spi.cf.s,Spirogyra cf. scrobiculata
15,4366,208.0,Que.py-T,Quercus pyrenaica-type
16,32,90.0,Aln,Alnus
16,95,150.0,Bet,Betula
16,233,2.0,Cypae,Cyperaceae
16,349,6.0,Graae,Gramineae
16,352,3.0,Hed,Hedera
16,945,12.0,Lyc,Lycopodium
16,953,2.0,Osm.r,Osmunda regalis
16,958,47.0,Ppd.v-T,Polypodium vulgare-type
16,961,2.0,Ptd.a,Pteridium aquilinum
16,1337,1.0,Pis.p,Pinus pinaster
16,1338,1.0,Pin.s-T,Pinus sylvestris-type
16,3028,37.0,Eri-T,Erica-type
16,3043,8.0,Crl,Cerealia
16,3462,5.0,T114,Type 114
16,3911,33.0,Flc.m.ud,Filicales monoletes undiff.
16,4266,1.0,T107,Type 107
16,4269,2.0,T204,Type 204
16,4271,2.0,T225,Type 225
16,4274,1.0,Spi.cf.s,Spirogyra cf. scrobiculata
16,4366,220.0,Que.py-T,Quercus pyrenaica-type
17,32,66.0,Aln,Alnus
17,80,3.0,Ast-T,Aster-type
17,95,176.0,Bet,Betula
17,124,2.0,Cal.v,Calluna vulgaris
17,233,13.0,Cypae,Cyperaceae
17,349,20.0,Graae,Gramineae
17,352,2.0,Hed,Hedera
17,945,7.0,Lyc,Lycopodium
17,953,1.0,Osm.r,Osmunda regalis
17,961,1.0,Ptd.a,Pteridium aquilinum
17,1338,1.0,Pin.s-T,Pinus sylvestris-type
17,3018,1.0,Cicoid,Cichorioideae
17,3028,14.0,Eri-T,Erica-type
17,3043,4.0,Crl,Cerealia
17,3910,3.0,Flc.t.ud,Filicales triletes undiff.
17,3911,20.0,Flc.m.ud,Filicales monoletes undiff.
17,4266,3.0,T107,Type 107
17,4366,230.0,Que.py-T,Quercus pyrenaica-type
18,32,48.0,Aln,Alnus
18,95,146.0,Bet,Betula
18,233,21.0,Cypae,Cyperaceae
18,349,33.0,Graae,Gramineae
18,352,2.0,Hed,Hedera
18,411,2.0,Leg,Leguminosae
18,763,5.0,Scoae,Scrophulariaceae
18,854,1.0,Umb,Umbelliferae
18,945,23.0,Lyc,Lycopodium
18,953,1.0,Osm.r,Osmunda regalis
18,958,11.0,Ppd.v-T,Polypodium vulgare-type
18,961,2.0,Ptd.a,Pteridium aquilinum
18,1338,11.0,Pin.s-T,Pinus sylvestris-type
18,2303,1.0,But,Butomus
18,3018,3.0,Cicoid,Cichorioideae
18,3028,22.0,Eri-T,Erica-type
18,3043,2.0,Crl,Cerealia
18,3462,2.0,T114,Type 114
18,3910,3.0,Flc.t.ud,Filicales triletes undiff.
18,3911,14.0,Flc.m.ud,Filicales monoletes undiff.
18,4271,1.0,T225,Type 225
18,4366,225.0,Que.py-T,Quercus pyrenaica-type
19,32,87.0,Aln,Alnus
19,95,196.0,Bet,Betula
19,124,1.0,Cal.v,Calluna vulgaris
19,233,9.0,Cypae,Cyperaceae
19,349,24.0,Graae,Gramineae
19,352,6.0,Hed,Hedera
19,945,12.0,Lyc,Lycopodium
19,958,16.0,Ppd.v-T,Polypodium vulgare-type
19,961,14.0,Ptd.a,Pteridium aquilinum
19,1337,2.0,Pis.p,Pinus pinaster
19,1338,12.0,Pin.s-T,Pinus sylvestris-type
19,1810,1.0,Asp.a-T,Asphodelus albus-type
19,3028,33.0,Eri-T,Erica-type
19,3043,3.0,Crl,Cerealia
19,3284,16.0,Glo.cf.f,Glomus cf. fasciculatum
19,3462,1.0,T114,Type 114
19,3911,31.0,Flc.m.ud,Filicales monoletes undiff.
19,4127,1.0,T16C,Type 16C
19,4266,4.0,T107,Type 107
19,4271,1.0,T225,Type 225
19,4366,218.0,Que.py-T,Quercus pyrenaica-type
20,32,24.0,Aln,Alnus
20,80,2.0,Ast-T,Aster-type
20,95,55.0,Bet,Betula
20,124,2.0,Cal.v,Calluna vulgaris
20,217,1.0,Cor,Corylus
20,233,5.0,Cypae,Cyperaceae
20,349,16.0,Graae,Gramineae
20,352,1.0,Hed,Hedera
20,763,1.0,Scoae,Scrophulariaceae
20,945,207.0,Lyc,Lycopodium
20,958,27.0,Ppd.v-T,Polypodium vulgare-type
20,961,18.0,Ptd.a,Pteridium aquilinum
20,1100,2.0,Lilae.ud,Liliaceae undiff.
20,1338,9.0,Pin.s-T,Pinus sylvestris-type
20,3018,2.0,Cicoid,Cichorioideae
